Temps ;Temperatur;Consigne_T;Humidite;Consigne_H
(s);(�C);(�C);(%);(%)
11010;20.0;20.0;120.0;255.0
11040;20.0;20.0;120.0;255.0
11070;20.01;20.0;120.0;255.0
11100;20.01;20.0;120.0;255.0
11130;19.99;20.0;120.0;255.0
11160;19.98;20.0;120.0;255.0
11190;19.98;20.0;120.0;255.0
11220;19.98;20.0;120.0;255.0
11250;19.98;20.0;120.0;255.0
11280;19.96;20.0;120.0;255.0
11310;19.92;20.0;120.0;255.0
11340;19.99;20.0;120.0;255.0
11370;20.07;20.0;120.0;255.0
11400;20.05;20.0;120.0;255.0
11430;20.03;20.0;120.0;255.0
11460;20.03;20.0;120.0;255.0
11490;20.01;20.0;120.0;255.0
11520;20.01;20.0;120.0;255.0
11550;20.01;20.0;120.0;255.0
11580;20.0;20.0;120.0;255.0
11610;20.0;20.0;120.0;255.0
11640;20.0;20.0;120.0;255.0
11670;20.0;20.0;120.0;255.0
11700;20.0;20.0;120.0;255.0
11730;19.99;20.0;120.0;255.0
11760;19.98;20.0;120.0;255.0
11790;19.98;20.0;120.0;255.0
11820;19.98;20.0;120.0;255.0
11850;19.98;20.0;120.0;255.0
11880;19.95;20.0;120.0;255.0
11910;19.95;20.0;120.0;255.0
11940;20.03;20.0;120.0;255.0
11970;20.04;20.0;120.0;255.0
12000;20.03;20.0;120.0;255.0
12030;20.03;20.0;120.0;255.0
12060;20.0;20.0;120.0;255.0
12090;20.0;20.0;120.0;255.0
12120;20.0;20.0;120.0;255.0
12150;20.0;20.0;120.0;255.0
12180;19.99;20.0;120.0;255.0
12210;19.98;20.0;120.0;255.0
12240;19.99;20.0;120.0;255.0
12270;19.96;20.0;120.0;255.0
12300;19.96;20.0;120.0;255.0
12330;19.98;20.0;120.0;255.0
12360;20.03;20.0;120.0;255.0
12390;20.03;20.0;120.0;255.0
12420;20.03;20.0;120.0;255.0
12450;20.01;20.0;120.0;255.0
12480;19.98;20.0;120.0;255.0
12510;20.0;20.0;120.0;255.0
12540;19.99;20.0;120.0;255.0
12570;19.99;20.0;120.0;255.0
12600;19.99;20.0;120.0;255.0
12630;19.99;20.0;120.0;255.0
12660;20.0;20.0;120.0;255.0
12690;20.0;20.0;120.0;255.0
12720;19.99;20.0;120.0;255.0
12750;19.95;20.0;120.0;255.0
12780;19.98;20.0;120.0;255.0
12810;20.04;20.0;120.0;255.0
12840;20.03;20.0;120.0;255.0
12870;20.03;20.0;120.0;255.0
12900;20.01;20.0;120.0;255.0
12930;20.0;20.0;120.0;255.0
12960;19.99;20.0;120.0;255.0
12990;20.0;20.0;120.0;255.0
13020;19.99;20.0;120.0;255.0
13050;19.99;20.0;120.0;255.0
13080;19.99;20.0;120.0;255.0
13110;19.98;20.0;120.0;255.0
13140;19.98;20.0;120.0;255.0
13170;19.98;20.0;120.0;255.0
13200;19.99;20.0;120.0;255.0
